# 词组读音,只收「读音异于逐字默认」的条目 —— 那正是修多音字需要的。
# 从 pypinyin 的 large_pinyin 导出(参考实现用的同一份),勿手改。
㞎㞎	ba3 ba5
一狐之掖	yi1 hu2 zhi1 ye4
一现昙华	yi1 xian4 tan2 hua1
一瓣子心	yi1 ban4 zi3 xin1
一生一世	yi4 sheng1 yi2 shi4
一甲子	yi1 jia3 zi3
一疲倦地	yi1 pi2 juan4 de5
一百	yi4 bai3
一百亿	yi4 bai3 yi4
一盘散沙	yi1 pan2 san3 sha1
一目了然	yi1 mu4 liao3 ran2
一目五行	yi1 mu4 wu3 hang2
一目十行	yi1 mu4 shi2 hang2
一目数行	yi1 mu4 shu4 hang2
一直	yi4 zhi2
一直地	yi4 zhi2 de5
一直线地	yi4 zhi2 xian4 de5
一直走	yi4 zhi2 zou3
一着	yi1 zhao1
一着不慎	yi1 zhao1 bu4 shen4
一矢中的	yi1 shi3 zhong4 di4
一程子	yi1 cheng2 zi3
一稳定地	yi1 wen3 deng5 de5
一窝子	yi1 wo1 zi3
一窝蜂地	yi1 wo1 feng1 de5
一窠子	yi1 ke1 zi3
一竿子	yi1 gan1 zi3
一笑了之	yi1 xiao4 liao3 zhi1
一笔抹摋	yi1 bi3 mo4 sa4
一等奖	yi4 deng3 jiang3
一箍脑儿	yi1 gu1 nao3 er5
一箭上垛	yi1 jian4 shang4 duo4
一篇文章	yi4 pian1 wen2 zhang1
一线之隔	yi2 xian4 zhi1 ge2
一网尽扫	yi1 wang3 jin4 sao3
一网打尽	yi1 wang3 da3 jin4
一而再	yi4 er2 zai4
一肚子	yi1 du3 zi5
一股劲	yi4 gu3 jin4
一股劲儿	yi1 gu3 jin4 er5
一股脑儿	yi1 gu3 nao3 er5
一股脑地	yi1 gu3 nao3 de5
一胆地	yi1 dan3 de5
一致	yi2 zhi4
一致地	yi2 zhi4 de5
一舍	yi1 she4
一般	yi4 ban1
一般化	yi4 ban1 hua4
一般地	yi4 ban1 de5
一般地指	yi4 ban1 de5 zhi3
一般地讲	yi4 ban1 de5 jiang3
一般地说	yi4 ban1 de5 shuo1
一般性地	yi4 ban1 xing4 de5
一般样	yi4 ban1 yang4
一般规律	yi4 ban1 gui1 lv4
一艘船	yi4 sou1 chuan2
一节俭地	yi1 jie2 jian3 de5
一茅三脊	yi1 mao2 san1 ji3
一莞	yi1 wan3
一览无遗	yi4 lan3 wu2 yi2
一觉	yi1 jiao4
一觉地	yi1 jiao4 de5
一觉醒来	yi1 jiao4 xing3 lai2
一言中的	yi4 yan2 zhong4 di4
一言为定	yi1 yan2 wei2 ding4
一言为重	yi1 yan2 wei2 zhong4
一言九鼎	yi4 yan2 jiu3 ding3
一言难尽	yi1 yan2 nan2 jin4
一语中人	yi1 yu3 zhong4 ren2
一语中的	yi1 yu3 zhong4 di4
一语破的	yi1 yu3 po4 di4
一诺千金	yi2 nuo4 qian1 jin1
一贯	yi2 guan4
一贯地	yi2 guan4 de5
一贯性	yi2 guan4 xing4
一走了之	yi1 zou3 liao3 zhi1
一起	yi4 qi3
一起头	yi4 qi3 tou2
一起子	yi4 qi3 zi3
一路人	yi2 lu4 ren2
一路哭	yi2 lu4 ku1
一路平安	yi2 lu4 ping2 an1
一踏脚儿	yi1 ta4 jue2 er2
一蹦子	yi1 beng4 zi3
一蹴而就	yi2 cu4 er2 jiu4
一蹶不兴	yi1 jue3 bu4 xing1
一边倒	yi1 bian1 dao3
一还一报	yi1 huan2 yi1 bao4
一连气儿	yi1 lian2 qi4 er5
一通	yi2 tong4
一通儿	yi1 tong4 er2
一通连	yi1 tong4 lian2
一造子	yi1 zao4 zi3
一逢掖	yi1 feng2 ye4
一邱之貉	yi1 qiu1 zhi1 he2
一部分	yi1 bu4 fen5
一部分地	yi1 bu4 fen4 de5
一重一掩	yi1 chong2 yi1 yan3
一针一缐	yi1 zhen1 yi1 yu2
一针见血	yi1 zhen1 jian4 xie3
一长	yi1 chang2
一长一短	yi1 chang2 yi1 duan3
一长两短	yi1 chang2 liang3 duan3
一长串	yi1 chang2 chuan4
一长二短	yi1 chang2 er4 duan3
一长半短	yi1 chang2 ban4 duan3
一长溜	yi1 chang2 liu1
一门子	yi1 men2 zi3
一隅	yi4 yu2
一面	yi2 mian4
一面之缘	yi2 mian4 zhi1 yuan2
一面倒	yi2 mian4 dao3
一鞭先着	yi1 bian1 xian1 zhao1
一鞭先著	yi1 bian1 xian1 zhuo2
一饭之顷	yi1 fan4 zhi1 qing1
一饮而尽	yi1 yin3 er2 jin4
一驮	yi1 duo4
一驮粮	yi2 duo4 liang2
一骨碌	yi1 gu1 lu4
一鸣惊人	yi4 ming2 jing1 ren2
一鼻子灰	yi1 bi2 zi3 hui1
一齐地	yi1 qi2 de5
丁令	ding1 ling2
丁令威	ding1 ling2 wei1
丁倒	ding1 dao3
丁娘子	ding1 niang2 zi3
丁子	ding1 zi3
丁子香	ding1 zi3 xiang1
丁巳复辟	ding1 si4 fu4 bi4
丁当长鸣	ding1 dang1 chang2 ming2
丁折	ding1 she2
丁点儿	ding1 dian3 er5
七世子孙	qi1 shi4 zi3 sun1
七事子	qi1 shi4 zi3
七佛	qi1 fo2
七倍地	qi1 bei4 de5
七停八当	qi1 ting2 ba1 dang4
七分似鬼	qi1 fen1 si4 gui3
七十二子	qi1 shi2 er4 zi3
七十二行	qi1 shi2 er4 hang2
七十二钻	qi1 shi2 er4 zuan4
七十倍地	qi1 shi2 bei4 de5
七十子	qi1 shi2 zi3
七十钻	qi1 shi2 zuan4
七大夫	qi1 dai4 fu1
七姑子	qi1 gu1 zi3
七子	qi1 zi3
七子八壻	qi1 zi3 ba1 xu4
七子八婿	qi1 zi3 ba1 xu4
七子均养	qi1 zi3 jun1 yang3
七子镜	qi1 zi3 jing4
七搭八搭	qi1 chang2 ba1 da1
七断八续	qi1 duan4 ba1 su4
七煞	qi1 sha4
七病八倒	qi1 bing4 ba1 dao3
七短八长	qi1 duan3 ba1 chang2
七筴	qi1 jia1
七老八倒	qi1 lao3 ba1 dao3
七舆大夫	qi1 yu2 dai4 fu1
七舍	qi1 she4
七菹	qi1 zu1
七行俱下	qi1 hang2 ju4 xia4
七贵五侯	qi1 gui4 wu3 hou4
七返还丹	qi1 fan3 huan2 dan1
七重围子	qi1 chong2 wei2 zi3
七长八短	qi1 chang2 ba1 duan3
七隩	qi1 yu4
七颠八倒	qi1 dian1 ba1 dao3
万乘	wan4 sheng4
万俟	mo4 qi2
万别千差	wan4 bie2 qian1 cha1
万卷	wan4 juan4
万古长存	wan4 gu3 chang2 cun2
万古长新	wan4 gu3 chang2 xin1
万古长春	wan4 gu3 chang2 chun1
万古长青	wan4 gu3 chang2 qing1
万头攒动	wan4 tou2 cuan2 dong4
万家生佛	wan4 jia1 sheng1 fo2
万应灵丹	wan4 ying4 ling2 dan1
万应灵药	wan4 ying4 ling2 yao4
万应锭	wan4 ying4 ding4
万户侯	wan4 hu4 hou4
万柏林	wan4 bo2 lin2
万柏林区	wan4 bo2 lin2 qu1
万石	wan4 dan4
万石君	wan4 dan4 jun1
万箭攒心	wan4 jian4 cuan2 xin1
万耑	wan4 zhuan1
万象更新	wan4 xiang4 geng1 xin1
万里侯	wan4 li3 hou4
万里长城	wan4 li3 chang2 cheng2
万里长征	wan4 li3 chang2 zheng1
万里长江	wan4 li3 chang2 jiang1
丈夫儿	zhang4 fu1 er5
丈夫子	zhang4 fu1 zi3
丈量	zhang4 liang2
三七仔	san1 qi1 zi3
三不拗六	san1 bu4 niu4 liu4
三世佛	san1 shi4 fo2
三乘	san1 sheng4
三九相公	san1 jiu3 xiang4 gong1
三侯	san1 hou4
三侯之章	san1 hou4 zhi1 zhang1
三保太监	san1 bao3 tai4 jian4
三倍地	san1 bei4 de5
三倒	san1 dao3
三公子	san1 gong1 zi3
三分似人	san1 fen1 si4 ren2
三勒浆	san1 le4 jiang1
三十二相	san1 shi2 er4 xiang4
三十倍地	san1 shi2 bei4 de5
三十儿	san1 shi2 er5
三十六行	san1 shi2 liu4 hang2
三十子	san1 shi2 zi3
三千弟子	san1 qian1 di4 zi3
三占从二	san1 zhan1 cong2 er4
三只手	san1 zhi1 shou3
三咽	san1 yan1
三啇	san1 di2
三处合	san1 chu3 he2
三大差别	san1 da4 cha1 bie2
三天两宿	san1 tian1 liang3 xiu3
三娘子	san1 niang2 zi3
三宝太监	san1 bao3 tai4 jian4
三家藷	san1 jia1 zhu1
三宿	san1 xiu3
三宿恋	san1 xiu3 lian4
三寸咽	san1 cun4 yan1
三尺童子	san1 chi3 tong2 zi3
三差两错	san1 cha1 liang3 cuo4
三差五错	san1 cha1 wu3 cuo4
三征七辟	san1 zhi3 qi1 pi4
三拗汤	san1 ao4 tang1
三握发	san1 wo4 fa4
三支比量	san1 zhi1 bi3 liang2
三斗尘	san1 dou3 chen2
三斗葱	san1 dou3 cong1
三斗醋	san1 dou3 cu4
三无坐处	san1 wu2 zuo4 chu3
三日仆射	san1 ri4 pu2 ye4
三日曲水	san1 ri4 qu3 shui3
三旨相公	san1 zhi3 xiang4 gong1
三曲	san1 qu3
三更	san1 geng1
三更半夜	san1 geng1 ban4 ye4
三更枣	san1 geng1 zao3
三松倒	san1 song1 dao3
三查三整	san1 zha1 san1 zheng3
三框栏	san1 kuang4 lan2
三次地	san1 ci4 de5
三段地	san1 duan4 de5
三洲曲	san1 zhou1 qu3
三澣	san1 han4
三灾八难	san1 zai1 ba1 nan4
三点全露	san1 dian3 quan2 lou4
三牛为麄	san1 niu2 wei2 cu1
三率	san1 shuai4
三班倒	san1 ban1 dao3
三男子	san1 nan2 zi3
三番子	san1 fan1 zi3
三相点	san1 xiang4 dian3
三省	san1 xing3
三省吾身	san1 xing3 wu2 shen1
三缪	san1 miu4
三翟	san1 zhai2
三老五更	san1 lao3 wu3 geng1
三脊茅	san1 ji3 mao2
三脚虾蟆	san1 jiao3 ha2 ma2
三臡八菹	san1 ni2 ba1 zu1
三舍	san1 she4
三舍人诗	san1 she4 ren2 shi1
三舍法	san1 she4 fa3
三藏	san1 zang4
三藏法师	san1 zang4 fa3 shi1
三角地	san1 jiao3 de5
三轮儿	san1 lun2 er5
三连冠	san1 lian2 guan4
三遶鹊	san1 rao3 que4
三邻四舍	san1 lin2 si4 she4
三郄	san1 xi4
三部曲	san1 bu4 qu3
三都县	san1 du1 xian4
三重	san1 chong2
三重县	san1 chong2 xian4
三重唱	san1 chong2 chang4
三重地	san1 chong2 de5
三重奏	san1 chong2 zou4
三重市	san1 chong2 shi4
三重门	san1 chong2 men2
三长	san1 chang2
三长两短	san1 chang2 liang3 duan3
三长四短	san1 chang2 si4 duan3
三长斋月	san1 chang2 zhai1 yue4
三长月	san1 chang2 yue4
三闇	san1 an1
三闾大夫	san1 lv2 dai4 fu1
三阳交泰	san1 yang2 jiao1 tai5
三陪小姐	san1 pei2 xiao3 jie5
三青子	san1 qing1 zi3
三鹿为奔	san1 lu4 wei2 ben1
三鹿为犇	san1 lu4 wei2 ben1
上一个	shang4 yi1 ge5
上下地	shang4 xia4 de5
上下打量	shang4 xia4 da3 liang5
上下文地	shang4 xia4 wen2 de5
上不着天	shang4 bu4 zhao2 tian1
上个	shang4 ge5
上之所好	shang4 zhi1 suo3 hao4
上供	shang4 gong4
上偻	shang4 lv3
上元甲子	shang4 yuan2 jia3 zi3
上切	shang4 qie1
上半部分	shang4 ban4 bu4 fen4
上去	shang3 qu4
上吐下泻	shang4 tu4 xia4 xie4
上声	shang3 sheng1
上大夫	shang4 dai4 fu1
上头	shang4 tou5
上嫚下暴	shang4 man4 xia4 bao4
上将	shang4 jiang4
上将军	shang4 jiang4 jun1
上尖儿	shang4 jian1 er5
上帝地	shang4 de5 de5
上座儿	shang4 zuo4 er5
上当	shang4 dang4
上当受骗	shang4 dang4 shou4 pian4
上愬	shang4 shuo4
上清童子	shang4 qing1 tong2 zi3
上澣	shang4 han4
上相	shang4 xiang4
上羾	shang4 hong2
上舍	shang4 she4
上荨	shang4 qian2
上诉地	shang4 su4 de5
上载	shang4 zai3
上边儿	shang4 bian5 er5
上述地	shang4 shu4 de5
上都	shang4 du1
上钩儿	shang4 gou1 er5
上齐	shang4 ji4
上齿龈	shang4 chi3 yin2
下一个	xia4 yi1 ge5
下不为例	xia4 bu4 wei2 li4
下不了台	xia4 bu4 liao3 tai2
下不着地	xia4 bu4 zhao2 di4
下个	xia4 ge5
下乘	xia4 sheng4
下作	xia4 zuo5
下关子	xia4 guan1 zi3
下切	xia4 qie1
下卷	xia4 juan4
下参差	xia4 cen1 ci1
下句丽	xia4 ju4 li2
下嗑子	xia4 ke4 zi3
下处	xia4 chu3
下大夫	xia4 dai4 fu1
下头	xia4 tou5
下子	xia4 zi3
下巴	xia4 ba5
下帖	xia4 tie3
下得	xia4 de5
下得去	xia4 dei3 qu4
下意识地	xia4 yi4 shi2 de5
下旋削球	xia4 xuan2 xiao1 qiu2
下无卓锥	xia4 wu2 zhuo1 zhui1
下来	xia4 lai5
下流地	xia4 liu2 de5
下潠田	xia4 sun4 tian2
下澣	xia4 han4
下等地	xia4 deng3 de5
下自成行	xia4 zi4 cheng2 hang2
下自成蹊	xia4 zi4 cheng2 xi1
下舍	xia4 she4
下裳	xia4 chang2
下贱地	xia4 jian4 de5
下载	xia4 zai3
下边	xia4 bian5
下边儿	xia4 bian5 er5
下都	xia4 du1
下野地	xia4 ye3 de5
下钓子	xia4 diao4 zi3
下钥	xia4 yue4
下降地	xia4 jiang4 de5
下餔	xia4 bu1
不一会儿	bu4 yi1 hui4 er5
不一定	bu4 yi2 ding4
不一样	bu4 yi2 yang4
不一致地	bu4 yi1 zhi4 de5
不丁点儿	bu4 ding1 dian3 er5
不世	bu5 shi5
不严密地	bu4 yan2 mi4 de5
不严格地	bu4 yan2 ge2 de5
不中意	bu4 zhong4 yi4
不为	bu4 wei2
不为人知	bu4 wei2 ren2 zhi1
不为已甚	bu4 wei2 yi3 shen4
不为所动	bu4 wei2 suo3 dong4
不为牛后	bu4 wei2 niu2 hou4
不为瓦全	bu4 wei2 wa3 quan2
不为过	bu4 wei2 guo4
不为酒困	bu4 wei2 jiu3 kun4
不久地	bu4 jiu3 de5
不义	bu2 yi4
不义地	bu2 yi4 de5
不习惯地	bu4 xi2 guan4 de5
不了	bu4 liao3
不了不当	bu4 liao3 bu4 dang4
不了了之	bu4 liao3 liao3 zhi1
不了事	bu4 liao3 shi4
不了格	bu4 liao3 ge2
不了缘	bu4 liao3 yuan2
不了而了	bu4 liao3 er2 liao3
不予	bu4 yu2
不亦说乎	bu4 yi4 yue4 hu1
不亲切地	bu4 qin1 qie4 de5
不仔细地	bu4 zi3 xi4 de5
不以为奇	bu4 yi3 wei2 qi2
不以为意	bu4 yi3 wei2 yi4
不以为然	bu4 yi3 wei2 ran2
不以为耻	bu4 yi3 wei2 chi3
不以语人	bu4 yi3 yu4 ren2
不价	bu4 jie5
不休息地	bu4 xiu1 xi1 de5
不优美地	bu4 you1 mei3 de5
不会	bu2 hui4
不会得	bu2 hui4 de5
不住	bu2 zhu4
不住地	bu2 zhu4 de5
不住地淌	bu2 zhu4 de5 tang3
不住地说	bu2 zhu4 de5 shuo1
不住地跳	bu2 zhu4 de5 tiao4
不住子	bu2 zhu4 zi3
不住气	bu2 zhu4 qi4
不体贴地	bu4 ti3 tie1 de5
不体面地	bu4 ti3 mian4 de5
不作为	bu4 zuo4 wei2
不便地	bu4 bian4 de5
不保险地	bu4 bao3 xian3 de5
不俟驾	bu4 si4 jia4
不信相地	bu4 xin4 xiang1 de5
不信神地	bu4 xin4 shen2 de5
不倒	bu4 dao3
不倒口	bu4 dao3 kou3
不倒翁	bu4 dao3 weng1
不值当	bu4 zhi2 dang4
不值得	bu4 zhi2 de5
不值得地	bu4 zhi2 de2 de5
不假地	bu4 jia3 de5
不偏离地	bu4 pian1 li2 de5
不停地	bu4 ting2 de5
不停地做	bu4 ting2 de5 zuo4
不停地叫	bu4 ting2 de5 jiao4
不停地吃	bu4 ting2 de5 chi1
不停地哭	bu4 ting2 de5 ku1
不停地喊	bu4 ting2 de5 han3
不停地嚼	bu4 ting2 de5 jue2
不停地想	bu4 ting2 de5 xiang3
不停地淌	bu4 ting2 de5 tang3
不停地笑	bu4 ting2 de5 xiao4
不停地讲	bu4 ting2 de5 jiang3
不停地说	bu4 ting2 de5 shuo1
不停地走	bu4 ting2 de5 zou3
不停地跳	bu4 ting2 de5 tiao4
不停地骂	bu4 ting2 de5 ma4
不停顿地	bu4 ting2 dun4 de5
不健全地	bu4 jian4 quan2 de5
不健康地	bu4 jian4 kang1 de5
不儿	bu2 er5
不儿道	bu1 er5 dao4
不允许地	bu4 yun3 xu3 de5
不充分地	bu4 chong1 fen4 de5
不充足地	bu4 chong1 zu2 de5
不公平地	bu4 gong1 ping2 de5
不公正地	bu4 gong1 zheng4 de5
不关心地	bu4 guan1 xin1 de5
不具名地	bu4 ju4 ming2 de5
不冒昧地	bu4 mao4 mei4 de5
不凋萎地	bu4 diao1 wei1 de5
不减弱地	bu4 jian3 ruo4 de5
不减退地	bu4 jian3 tui4 de5
不分开地	bu4 fen1 kai1 de5
不切实际	bu4 qie1 shi2 ji4
不切题	bu2 qie4 ti2
